"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"5210" "C0879626" "manuel_jdz1" NA NA NA "0" NA
"5310" "C0004623" "manuel_jdz1" NA NA NA "0" NA
"5410" "C0920563" "manuel_jdz1" NA NA NA "0" NA
"5510" "C0332448" "manuel_jdz1" NA NA NA "0" NA
"5610" "C0332803" "manuel_jdz1" NA NA NA "0" NA
"5810" "C0008679" "manuel_jdz1" NA NA NA "0" NA
"5910" "C0021053" "manuel_jdz1" NA NA NA "0" NA
"6010" "C3263722" "manuel_jdz1" NA NA NA "0" NA
"6110" "C0728867" "manuel_jdz1" NA NA NA "18" NA
"6310" "C0684336" "manuel_jdz1" NA NA NA "0" NA
"6410" "C0019247" "manuel_jdz1" NA NA NA "0" NA
"6510" "C1373218" "manuel_jdz1" NA NA NA "0" NA
"6610" "C0599156" "manuel_jdz1" NA NA NA "0" NA
"6710" "C1145670" "manuel_jdz1" NA NA NA "0" NA
"6810" "C3203359" "manuel_jdz1" NA NA NA "0" NA
"6910" "C0010957" "manuel_jdz1" NA NA NA "0" NA
"7010" "C0242184" "manuel_jdz1" NA NA NA "0" NA
"7110" "C0036974" "manuel_jdz1" NA NA NA "0" NA
"7310" "C0036983" "manuel_jdz1" NA NA NA "0" NA
"7410" "C0011881" "manuel_jdz1" NA NA NA "19" NA
"7510" "C1527304" "manuel_jdz1" NA NA NA "0" NA
"7610" "C3163620" "manuel_jdz1" NA NA NA "0" NA
"7710" "C0043246" "manuel_jdz1" NA NA NA "0" NA
"784" "C0184567" "manuel_jdz1" NA NA NA "0" NA
"792" "C1510420" "manuel_jdz1" NA NA NA "0" NA
"802" "C0700198" "manuel_jdz1" NA NA NA "0" NA
"813" "C3539909" "manuel_jdz1" NA NA NA "0" NA
"822" "C0018681" "manuel_jdz1" NA NA NA "0" NA
"832" "C0413252" "manuel_jdz1" NA NA NA "0" NA
"842" "C0242781" "manuel_jdz1" NA NA NA "0" NA
"852" "C0520904" "manuel_jdz1" NA NA NA "0" NA
"862" "C0016059" "manuel_jdz1" NA NA NA "0" NA
"872" "C0026838" "manuel_jdz1" NA NA NA "0" NA
"882" "C0013404" "manuel_jdz1" NA NA NA "0" NA
"892" "C0013146" "manuel_jdz1" NA NA NA "18" NA
"902" "C0019557" "manuel_jdz1" NA NA NA "0" NA
"913" "C2729169" "manuel_jdz1" NA NA NA "0" NA
"922" "C1719672" "manuel_jdz1" NA NA NA "0" NA
"932" "C3668885" "manuel_jdz1" NA NA NA "0" NA
"942" "C0087086" "manuel_jdz1" NA NA NA "0" NA
"952" "C0700323" "manuel_jdz1" NA NA NA "0" NA
"962" "C0010200" "manuel_jdz1" NA NA NA "0" NA
"972" "C1261287" "manuel_jdz1" NA NA NA "0" NA
"982" "C0332853" "manuel_jdz1" NA NA NA "0" NA
"992" "C0600142" "manuel_jdz1" NA NA NA "0" NA
"1002" "C0242488" "manuel_jdz1" NA NA NA "0" NA
"1013" "C0000737" "manuel_jdz1" NA NA NA "0" NA
"1022" "C0574785" "manuel_jdz1" NA NA NA "0" NA
"1032" "C0032787" "manuel_jdz1" NA NA NA "0" NA
"1042" "C1517205" "manuel_jdz1" NA NA NA "0" NA
"1052" "C0013604" "manuel_jdz1" NA NA NA "0" NA
"1062" "C0006625" "manuel_jdz1" NA NA NA "0" NA
"1072" "C0332568" "manuel_jdz1" NA NA NA "0" NA
"1082" "C0008031" "manuel_jdz1" NA NA NA "0" NA
"1092" "C0877248" "manuel_jdz1" NA NA NA "0" NA
"1102" "C0004930" "manuel_jdz1" NA NA NA "0" NA
"1113" "C0243083" "manuel_jdz1" NA NA NA "0" NA
"1122" "C0000925" "manuel_jdz1" NA NA NA "0" NA
"1132" "C0234215" "manuel_jdz1" NA NA NA "0" NA
"1142" "C0474368" "manuel_jdz1" NA NA NA "0" NA
"1152" "C1265679" "manuel_jdz1" NA NA NA "0" NA
"1162" "C0004610" "manuel_jdz1" NA NA NA "0" NA
"1172" "C0038443" "manuel_jdz1" NA NA NA "0" NA
"1182" "C0599766" "manuel_jdz1" NA NA NA "0" NA
"1192" "C0009814" "manuel_jdz1" NA NA NA "0" NA
"1202" "C0011164" "manuel_jdz1" NA NA NA "0" NA
"1213" "C0231239" "manuel_jdz1" NA NA NA "0" NA
"1221" "C0264490" "manuel_jdz1" NA NA NA "0" NA
"1231" "C0033119" "manuel_jdz1" NA NA NA "0" NA
"1241" "C0334094" "manuel_jdz1" NA NA NA "0" NA
"1261" "C0028734" "manuel_jdz1" NA NA NA "0" NA
"1271" "C0428977" "manuel_jdz1" NA NA NA "0" NA
"1281" "C0039231" "manuel_jdz1" NA NA NA "0" NA
"1291" "C3714552" "manuel_jdz1" NA NA NA "0" NA
"1301" "C0038941" "manuel_jdz1" NA NA NA "0" NA
"1312" "C0237593" "manuel_jdz1" NA NA NA "0" NA
"1321" "C0342257" "manuel_jdz1" NA NA NA "19" NA
"1331" "C0684320" "manuel_jdz1" NA NA NA "0" NA
"1341" "C1963065" "manuel_jdz1" NA NA NA "0" NA
"1351" "C0008767" "manuel_jdz1" NA NA NA "0" NA
"1361" "C0233494" "manuel_jdz1" NA NA NA "0" NA
"1371" "C0520909" "manuel_jdz1" NA NA NA "0" NA
"1381" "C0020564" "manuel_jdz1" NA NA NA "0" NA
"1391" "C0027498" "manuel_jdz1" NA NA NA "0" NA
"1401" "C0149746" "manuel_jdz1" NA NA NA "0" NA
"1421" "C0333641" "manuel_jdz1" NA NA NA "0" NA
"143" "C0015230" "manuel_jdz1" NA NA NA "0" NA
"144" "C0238217" "manuel_jdz1" NA NA NA "0" NA
"146" "C0011175" "manuel_jdz1" NA NA NA "0" NA
"147" "C0032788" "manuel_jdz1" NA NA NA "0" NA
"148" "C0242429" "manuel_jdz1" NA NA NA "0" NA
"149" "C0018991" "manuel_jdz1" NA NA NA "0" NA
"150" "C0242966" "manuel_jdz1" NA NA NA "0" NA
"1511" "C0443146" "manuel_jdz1" NA NA NA "0" NA
"152" "C0481391" "manuel_jdz1" NA NA NA "0" NA
"154" "C0694563" "manuel_jdz1" NA NA NA "0" NA
"155" "C0496118" "manuel_jdz1" NA NA NA "0" NA
"156" "C0026837" "manuel_jdz1" NA NA NA "0" NA
"157" "C3543005" "manuel_jdz1" NA NA NA "0" NA
"158" "C0043144" "manuel_jdz1" NA NA NA "0" NA
"159" "C1140999" "manuel_jdz1" NA NA NA "0" NA
"160" "C0452131" "manuel_jdz1" NA NA NA "0" NA
"1611" "C0699753" "manuel_jdz1" NA NA NA "0" NA
"162" "C0040822" "manuel_jdz1" NA NA NA "0" NA
"163" "C0022744" "manuel_jdz1" NA NA NA "0" NA
"164" "C0039070" "manuel_jdz1" NA NA NA "0" NA
"165" "C0016382" "manuel_jdz1" NA NA NA "0" NA
"166" "C0085632" "manuel_jdz1" NA NA NA "0" NA
"167" "C0231617" "manuel_jdz1" NA NA NA "0" NA
"168" "C0233601" "manuel_jdz1" NA NA NA "0" NA
"169" "C0410158" "manuel_jdz1" NA NA NA "0" NA
"170" "C1442161" "manuel_jdz1" NA NA NA "0" NA
"1711" "C1848140" "manuel_jdz1" NA NA NA "0" NA
"172" "C0160420" "manuel_jdz1" NA NA NA "0" NA
"173" "C0575090" "manuel_jdz1" NA NA NA "0" NA
"174" "C0730345" "manuel_jdz1" NA NA NA "0" NA
"175" "C0020507" "manuel_jdz1" NA NA NA "0" NA
"176" "C0038561" "manuel_jdz1" NA NA NA "0" NA
"177" "C0398353" "manuel_jdz1" NA NA NA "0" NA
"178" "C0221208" "manuel_jdz1" NA NA NA "0" NA
"179" "C0000924" "manuel_jdz1" NA NA NA "0" NA
"180" "C0161816" "manuel_jdz1" NA NA NA "0" NA
