"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"C0037090.C0025048" "C0037090" "O" "C0025048" "P24.0" "P24.0" 34 NA
"C0037090.C0035220.1" "C0037090" "O" "C0035220" "P22.0" "P22.0" 33 NA
"C0037090.C0035220.2" "C0037090" "O" "C0035220" "P22" "P22" 33 NA
"C0037090.C0035220.3" "C0037090" "O" "C0035220" "P22.9" "P22.9" 33 NA
"C0037090.C0178309" "C0037090" "O" "C0178309" "P96" "P96" NA "A0"
"C0037090.C0270148" "C0037090" "O" "C0270148" "P28.2" "P28.2" 33 NA
"C0037090.C0456015" "C0037090" "O" "C0456015" "P24.2" "P24.2" 34 NA
"C0037090.C0475712" "C0037090" "O" "C0475712" "P28.3" "P28.3" 33 NA
"C0037090.C0477907" "C0037090" "O" "C0477907" "P22.8" "P22.8" 33 NA
"C0037090.C0477914" "C0037090" "O" "C0477914" "P28.4" "P28.4" 33 NA
"C0037090.C0477915" "C0037090" "O" "C0477915" "P28.8" "P28.8" 33 NA
"C0037090.C0521648" "C0037090" "O" "C0521648" "P28.5" "P28.5" 33 NA
"C0231274.C0012766" "C0231274" "O" "C0012766" "R20" "R20" NA "A0"
"C0231274.C0018844" "C0231274" "O" "C0018844" "T67.0" "T67.0" NA "B0"
"C0231274.C0021051" "C0231274" "O" "C0021051" "D84.9" "D84.9" 2 NA
"C0231274.C0022596" "C0231274" "O" "C0022596" "L85.2" "L85.2" NA "B0"
"C0282208.C0478147.1" "C0282208" "O" "C0478147" "R50-R69.9" "R50" NA "A0"
"C0282208.C0478147.2" "C0282208" "O" "C0478147" "R50-R69.9" "R51" NA "A0"
"C0282208.C0478147.3" "C0282208" "O" "C0478147" "R50-R69.9" "R52" NA "A0"
"C0282208.C0478147.4" "C0282208" "O" "C0478147" "R50-R69.9" "R53" NA "A0"
"C0282208.C0478147.5" "C0282208" "O" "C0478147" "R50-R69.9" "R54" NA "A0"
"C0282208.C0478147.6" "C0282208" "O" "C0478147" "R50-R69.9" "R55" NA "A0"
"C0282208.C0478147.7" "C0282208" "O" "C0478147" "R50-R69.9" "R56" NA "A0"
"C0282208.C0478147.8" "C0282208" "O" "C0478147" "R50-R69.9" "R57" NA "A0"
"C0282208.C0478147.9" "C0282208" "O" "C0478147" "R50-R69.9" "R58" NA "A0"
"C0282208.C0478147.10" "C0282208" "O" "C0478147" "R50-R69.9" "R59" NA "A0"
"C0282208.C0478147.11" "C0282208" "O" "C0478147" "R50-R69.9" "R60" NA "A0"
"C0282208.C0478147.12" "C0282208" "O" "C0478147" "R50-R69.9" "R61" NA "A0"
"C0282208.C0478147.13" "C0282208" "O" "C0478147" "R50-R69.9" "R62" NA "A0"
"C0282208.C0478147.14" "C0282208" "O" "C0478147" "R50-R69.9" "R63" NA "A0"
"C0282208.C0478147.15" "C0282208" "O" "C0478147" "R50-R69.9" "R64" NA "A0"
"C0282208.C0478147.16" "C0282208" "O" "C0478147" "R50-R69.9" "R65" NA "A0"
"C0282208.C0478147.17" "C0282208" "O" "C0478147" "R50-R69.9" "R66" NA "A0"
"C0282208.C0478147.18" "C0282208" "O" "C0478147" "R50-R69.9" "R67" NA "A0"
"C0282208.C0478147.19" "C0282208" "O" "C0478147" "R50-R69.9" "R68" NA "A0"
"C0282208.C0478147.20" "C0282208" "O" "C0478147" "R50-R69.9" "R69.0" NA "B0"
"C0282208.C0478147.21" "C0282208" "O" "C0478147" "R50-R69.9" "R69.1" NA "B0"
"C0282208.C0478147.22" "C0282208" "O" "C0478147" "R50-R69.9" "R69.2" NA "B0"
"C0282208.C0478147.23" "C0282208" "O" "C0478147" "R50-R69.9" "R69.3" NA "B0"
"C0282208.C0478147.24" "C0282208" "O" "C0478147" "R50-R69.9" "R69.4" NA "B0"
