"CUIinp" "Map_type" "CUIout" "ICDgn" "ICD" "GBD" "Pbs"
"C0266804.C0012242.1" "C0266804" "G/P" "C0012242" "K00-K93.9" "K00" NA "A0"
"C0266804.C0012242.2" "C0266804" "G/P" "C0012242" "K00-K93.9" "K01" NA "A0"
"C0266804.C0012242.3" "C0266804" "G/P" "C0012242" "K00-K93.9" "K02" 155 NA
"C0266804.C0012242.4" "C0266804" "G/P" "C0012242" "K00-K93.9" "K03" NA "A0"
"C0266804.C0012242.5" "C0266804" "G/P" "C0012242" "K00-K93.9" "K04" NA "A0"
"C0266804.C0012242.6" "C0266804" "G/P" "C0012242" "K00-K93.9" "K05" 156 NA
"C0266804.C0012242.7" "C0266804" "G/P" "C0012242" "K00-K93.9" "K06" NA "A0"
"C0266804.C0012242.8" "C0266804" "G/P" "C0012242" "K00-K93.9" "K07" NA "A0"
"C0266804.C0012242.9" "C0266804" "G/P" "C0012242" "K00-K93.9" "K08" NA "A0"
"C0266804.C0012242.10" "C0266804" "G/P" "C0012242" "K00-K93.9" "K09" NA "A0"
"C0266804.C0012242.11" "C0266804" "G/P" "C0012242" "K00-K93.9" "K10" NA "A0"
"C0266804.C0012242.12" "C0266804" "G/P" "C0012242" "K00-K93.9" "K11" NA "A0"
"C0266804.C0012242.13" "C0266804" "G/P" "C0012242" "K00-K93.9" "K12" NA "A0"
"C0266804.C0012242.14" "C0266804" "G/P" "C0012242" "K00-K93.9" "K13" NA "A0"
"C0266804.C0012242.15" "C0266804" "G/P" "C0012242" "K00-K93.9" "K14" NA "A0"
"C0266804.C0012242.16" "C0266804" "G/P" "C0012242" "K00-K93.9" "K15" NA "A0"
"C0266804.C0012242.17" "C0266804" "G/P" "C0012242" "K00-K93.9" "K16" NA "A0"
"C0266804.C0012242.18" "C0266804" "G/P" "C0012242" "K00-K93.9" "K17" NA "A0"
"C0266804.C0012242.19" "C0266804" "G/P" "C0012242" "K00-K93.9" "K18" NA "A0"
"C0266804.C0012242.20" "C0266804" "G/P" "C0012242" "K00-K93.9" "K19" NA "A0"
"C0266804.C0012242.21" "C0266804" "G/P" "C0012242" "K00-K93.9" "K20" NA "A0"
"C0266804.C0012242.22" "C0266804" "G/P" "C0012242" "K00-K93.9" "K21" NA "A0"
"C0266804.C0012242.23" "C0266804" "G/P" "C0012242" "K00-K93.9" "K22" NA "A0"
"C0266804.C0012242.24" "C0266804" "G/P" "C0012242" "K00-K93.9" "K23" NA "A0"
"C0266804.C0012242.25" "C0266804" "G/P" "C0012242" "K00-K93.9" "K24" NA "A0"
"C0266804.C0012242.26" "C0266804" "G/P" "C0012242" "K00-K93.9" "K25" 90 NA
"C0266804.C0012242.27" "C0266804" "G/P" "C0012242" "K00-K93.9" "K26" 90 NA
"C0266804.C0012242.28" "C0266804" "G/P" "C0012242" "K00-K93.9" "K27" 90 NA
"C0266804.C0012242.29" "C0266804" "G/P" "C0012242" "K00-K93.9" "K28" NA "A0"
"C0266804.C0012242.30" "C0266804" "G/P" "C0012242" "K00-K93.9" "K29" 91 NA
"C0266804.C0012242.31" "C0266804" "G/P" "C0012242" "K00-K93.9" "K30" NA "A0"
"C0266804.C0012242.32" "C0266804" "G/P" "C0012242" "K00-K93.9" "K31" NA "A0"
"C0266804.C0012242.33" "C0266804" "G/P" "C0012242" "K00-K93.9" "K32" NA "A0"
"C0266804.C0012242.34" "C0266804" "G/P" "C0012242" "K00-K93.9" "K33" NA "A0"
"C0266804.C0012242.35" "C0266804" "G/P" "C0012242" "K00-K93.9" "K34" NA "A0"
"C0266804.C0012242.36" "C0266804" "G/P" "C0012242" "K00-K93.9" "K35" 92 NA
"C0266804.C0012242.37" "C0266804" "G/P" "C0012242" "K00-K93.9" "K36" 92 NA
"C0266804.C0012242.38" "C0266804" "G/P" "C0012242" "K00-K93.9" "K37" 92 NA
"C0266804.C0012242.39" "C0266804" "G/P" "C0012242" "K00-K93.9" "K38" NA "A0"
"C0266804.C0012242.40" "C0266804" "G/P" "C0012242" "K00-K93.9" "K39" NA "A0"
"C0266804.C0012242.41" "C0266804" "G/P" "C0012242" "K00-K93.9" "K40" 94 NA
"C0266804.C0012242.42" "C0266804" "G/P" "C0012242" "K00-K93.9" "K41" 94 NA
"C0266804.C0012242.43" "C0266804" "G/P" "C0012242" "K00-K93.9" "K42" NA "A0"
"C0266804.C0012242.44" "C0266804" "G/P" "C0012242" "K00-K93.9" "K43" NA "A0"
"C0266804.C0012242.45" "C0266804" "G/P" "C0012242" "K00-K93.9" "K44" NA "A0"
"C0266804.C0012242.46" "C0266804" "G/P" "C0012242" "K00-K93.9" "K45" NA "A0"
"C0266804.C0012242.47" "C0266804" "G/P" "C0012242" "K00-K93.9" "K46" NA "A0"
"C0266804.C0012242.48" "C0266804" "G/P" "C0012242" "K00-K93.9" "K47" NA "A0"
"C0266804.C0012242.49" "C0266804" "G/P" "C0012242" "K00-K93.9" "K48" NA "A0"
"C0266804.C0012242.50" "C0266804" "G/P" "C0012242" "K00-K93.9" "K49" NA "A0"
"C0266804.C0012242.51" "C0266804" "G/P" "C0012242" "K00-K93.9" "K50" 95 NA
"C0266804.C0012242.52" "C0266804" "G/P" "C0012242" "K00-K93.9" "K51" 95 NA
"C0266804.C0012242.53" "C0266804" "G/P" "C0012242" "K00-K93.9" "K52" 95 NA
"C0266804.C0012242.54" "C0266804" "G/P" "C0012242" "K00-K93.9" "K53" NA "A0"
"C0266804.C0012242.55" "C0266804" "G/P" "C0012242" "K00-K93.9" "K54" NA "A0"
"C0266804.C0012242.56" "C0266804" "G/P" "C0012242" "K00-K93.9" "K55" 96 NA
"C0266804.C0012242.57" "C0266804" "G/P" "C0012242" "K00-K93.9" "K56" 93 NA
"C0266804.C0012242.58" "C0266804" "G/P" "C0012242" "K00-K93.9" "K57" NA "A0"
"C0266804.C0012242.59" "C0266804" "G/P" "C0012242" "K00-K93.9" "K58" NA "A0"
"C0266804.C0012242.60" "C0266804" "G/P" "C0012242" "K00-K93.9" "K59" NA "A0"
"C0266804.C0012242.61" "C0266804" "G/P" "C0012242" "K00-K93.9" "K60" NA "A0"
"C0266804.C0012242.62" "C0266804" "G/P" "C0012242" "K00-K93.9" "K61" NA "A0"
"C0266804.C0012242.63" "C0266804" "G/P" "C0012242" "K00-K93.9" "K62" NA "A0"
"C0266804.C0012242.64" "C0266804" "G/P" "C0012242" "K00-K93.9" "K63" NA "A0"
"C0266804.C0012242.65" "C0266804" "G/P" "C0012242" "K00-K93.9" "K64" NA "A0"
"C0266804.C0012242.66" "C0266804" "G/P" "C0012242" "K00-K93.9" "K65" NA "A0"
"C0266804.C0012242.67" "C0266804" "G/P" "C0012242" "K00-K93.9" "K66" NA "A0"
"C0266804.C0012242.68" "C0266804" "G/P" "C0012242" "K00-K93.9" "K67" NA "A0"
"C0266804.C0012242.69" "C0266804" "G/P" "C0012242" "K00-K93.9" "K68" NA "A0"
"C0266804.C0012242.70" "C0266804" "G/P" "C0012242" "K00-K93.9" "K69" NA "A0"
"C0266804.C0012242.71" "C0266804" "G/P" "C0012242" "K00-K93.9" "K70" 89 NA
"C0266804.C0012242.72" "C0266804" "G/P" "C0012242" "K00-K93.9" "K71" NA "Pinf1"
"C0266804.C0012242.73" "C0266804" "G/P" "C0012242" "K00-K93.9" "K72" NA "Pinf1"
"C0266804.C0012242.74" "C0266804" "G/P" "C0012242" "K00-K93.9" "K73" 89 NA
"C0266804.C0012242.75" "C0266804" "G/P" "C0012242" "K00-K93.9" "K74" 89 NA
"C0266804.C0012242.76" "C0266804" "G/P" "C0012242" "K00-K93.9" "K75" NA "Pinf1"
"C0266804.C0012242.77" "C0266804" "G/P" "C0012242" "K00-K93.9" "K76" NA "Pinf1"
"C0266804.C0012242.78" "C0266804" "G/P" "C0012242" "K00-K93.9" "K77" NA "A0"
"C0266804.C0012242.79" "C0266804" "G/P" "C0012242" "K00-K93.9" "K78" NA "A0"
"C0266804.C0012242.80" "C0266804" "G/P" "C0012242" "K00-K93.9" "K79" NA "A0"
"C0266804.C0012242.81" "C0266804" "G/P" "C0012242" "K00-K93.9" "K80" 97 NA
"C0266804.C0012242.82" "C0266804" "G/P" "C0012242" "K00-K93.9" "K81" 97 NA
"C0266804.C0012242.83" "C0266804" "G/P" "C0012242" "K00-K93.9" "K82" 97 NA
"C0266804.C0012242.84" "C0266804" "G/P" "C0012242" "K00-K93.9" "K83" 97 NA
"C0266804.C0012242.85" "C0266804" "G/P" "C0012242" "K00-K93.9" "K84" NA "A0"
"C0266804.C0012242.86" "C0266804" "G/P" "C0012242" "K00-K93.9" "K85" 98 NA
"C0266804.C0012242.87" "C0266804" "G/P" "C0012242" "K00-K93.9" "K86" 98 NA
"C0266804.C0012242.88" "C0266804" "G/P" "C0012242" "K00-K93.9" "K87" NA "A0"
"C0266804.C0012242.89" "C0266804" "G/P" "C0012242" "K00-K93.9" "K88" NA "A0"
"C0266804.C0012242.90" "C0266804" "G/P" "C0012242" "K00-K93.9" "K89" NA "A0"
"C0266804.C0012242.91" "C0266804" "G/P" "C0012242" "K00-K93.9" "K90" NA "A0"
"C0266804.C0012242.92" "C0266804" "G/P" "C0012242" "K00-K93.9" "K91" NA "A0"
"C0266804.C0012242.93" "C0266804" "G/P" "C0012242" "K00-K93.9" "K92" NA "A0"
"C0266804.C0012242.94" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.0" NA "B0"
"C0266804.C0012242.95" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.1" NA "B0"
"C0266804.C0012242.96" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.2" NA "B0"
"C0266804.C0012242.97" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.3" NA "B0"
"C0266804.C0012242.98" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.4" NA "B0"
"C0266804.C0012242.99" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.5" NA "B0"
"C0266804.C0012242.100" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.6" NA "B0"
"C0266804.C0012242.101" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.7" NA "B0"
"C0266804.C0012242.102" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.8" NA "B0"
"C0266804.C0012242.103" "C0266804" "G/P" "C0012242" "K00-K93.9" "K93.9" NA "B0"
"C0266804.C0012242.104" "C0266804" "G/P" "C0012242" "K92.9" "K92.9" NA "B0"
"C0848778" "C0848778" "No_target_concept_mapped_to" NA NA NA NA NA
